Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria	30200	32856	36034	35463	36804	33984	27980	29419	31302	29716	29969	28091	34269	35465	32612	33273	34444	33688
Bacteria|Acidobacteria	52	69	39	45	50	59	196	90	140	55	143	184	117	61	275	120	43	64
Bacteria|Actinobacteria	7771	13581	10242	10116	6305	8058	8130	10355	10470	8324	9156	8308	12152	10622	10622	11674	11579	10648
Bacteria|Armatimonadetes	2	1	1	2	0	4	2	7	2	5	6	2	2	9	4	6	7	5
Bacteria|Bacteroidetes	845	821	2766	1059	1889	782	975	2408	2783	2250	1082	865	1850	2085	1525	1259	1540	1995
Bacteria|Candidatus_Saccharibacteria	1	1	6	0	33	4	0	10	1	0	11	0	2	0	2	0	0	5
Bacteria|Chlamydiae	4	2	0	0	2	9	10	9	11	16	3	3	0	4	41	6	0	23
Bacteria|Chloroflexi	447	605	215	484	489	321	379	780	371	490	573	485	1380	314	552	560	616	609
Bacteria|Firmicutes	421	594	295	1079	204	434	1309	777	687	872	478	1336	233	120	298	245	165	356
Bacteria|Ignavibacteriae	2	3	0	3	0	12	2	2	0	29	0	0	0	0	2	0	1	7
Bacteria|Nitrospirae	18	18	11	14	9	14	25	14	21	13	32	25	18	17	21	27	20	24
Bacteria|Planctomycetes	6	38	21	8	9	17	70	110	72	27	59	75	40	32	48	37	28	31
Bacteria|Proteobacteria	20026	16536	22071	22075	27403	23805	16292	14174	16126	17022	17882	16223	17732	21677	18556	18780	19866	19392
Bacteria|Spirochaetes	20	10	40	21	44	15	31	30	40	54	38	32	32	67	63	49	22	54
Bacteria|Unassigned	563	549	292	547	352	432	478	604	517	522	429	426	645	400	515	453	523	432
Bacteria|Verrucomicrobia	22	28	35	10	15	18	81	49	61	37	77	127	66	57	88	57	34	43
Bacteria|Acidobacteria|Acidobacteria_Gp10	25	26	19	33	43	28	63	26	83	22	48	40	37	19	185	57	13	28
Bacteria|Acidobacteria|Acidobacteria_Gp17	3	9	6	2	2	5	26	13	11	5	27	26	18	16	20	21	5	9
Bacteria|Acidobacteria|Acidobacteria_Gp3	6	9	4	3	1	8	11	4	5	4	8	2	1	3	5	1	2	5
Bacteria|Acidobacteria|Acidobacteria_Gp5	4	3	1	1	1	4	6	1	5	7	4	5	1	4	6	5	2	4
Bacteria|Acidobacteria|Acidobacteria_Gp6	14	22	9	6	3	14	90	46	36	17	56	111	60	19	59	36	21	18
Bacteria|Actinobacteria|Actinobacteria	7765	13556	10216	10085	6297	8025	8098	10323	10448	8300	9133	8275	12138	10601	10607	11649	11562	10622
Bacteria|Actinobacteria|Unassigned	6	25	26	31	8	33	32	32	22	24	23	33	14	21	15	25	17	26
Bacteria|Armatimonadetes|Unassigned	2	1	1	2	0	4	2	7	2	5	6	2	2	9	4	6	7	5
Bacteria|Bacteroidetes|Cytophagia	285	187	106	121	159	55	341	266	425	626	303	195	324	344	440	436	203	283
Bacteria|Bacteroidetes|Flavobacteriia	469	583	2597	860	1663	676	476	2049	2150	1420	643	571	1363	1483	946	662	1221	1589
Bacteria|Bacteroidetes|Sphingobacteriia	74	45	45	59	57	38	146	81	189	175	118	81	143	245	124	143	97	103
Bacteria|Bacteroidetes|Unassigned	17	6	18	19	10	13	12	12	19	29	18	18	20	13	15	18	19	20
Bacteria|Candidatus_Saccharibacteria|Unassigned	1	1	6	0	33	4	0	10	1	0	11	0	2	0	2	0	0	5
Bacteria|Chlamydiae|Chlamydiia	4	2	0	0	2	9	10	9	11	16	3	3	0	4	41	6	0	23
Bacteria|Chloroflexi|Caldilineae	1	8	1	0	0	4	6	15	8	1	8	6	5	5	11	4	2	2
Bacteria|Chloroflexi|Chloroflexia	245	373	154	317	359	184	212	580	217	351	426	330	1172	214	314	400	537	489
Bacteria|Chloroflexi|Unassigned	201	224	60	167	130	133	161	185	146	138	139	149	203	95	227	156	77	118
Bacteria|Firmicutes|Bacilli	420	399	288	1075	200	433	1301	774	660	865	475	1319	232	115	295	243	161	298
Bacteria|Firmicutes|Clostridia	1	195	7	4	4	1	8	3	27	7	3	17	1	5	3	2	4	58
Bacteria|Ignavibacteriae|Ignavibacteria	2	3	0	3	0	12	2	2	0	29	0	0	0	0	2	0	1	7
Bacteria|Nitrospirae|Nitrospira	18	18	11	14	9	14	25	14	21	13	32	25	18	17	21	27	20	24
Bacteria|Planctomycetes|Planctomycetia	6	38	21	8	9	17	70	110	72	27	59	75	40	32	48	37	28	31
Bacteria|Proteobacteria|Alphaproteobacteria	5114	5156	7527	6374	7405	6605	5042	4444	3730	4043	5295	4749	3917	4719	4694	4940	5083	5098
Bacteria|Proteobacteria|Betaproteobacteria	8679	6432	9023	9813	13089	10811	5010	4508	6736	6540	6190	5337	7496	8820	6889	7219	7788	7156
Bacteria|Proteobacteria|Deltaproteobacteria	914	955	811	953	961	1293	1003	676	920	918	918	960	889	1143	1004	939	906	989
