NO,Composition
P0205,Dahuang;Kuxinren
P0206,Danggui;Chishao;Dahuang;Jiangxiang;Sumu;Gancao
P0207,鸡苏;Shengdihuang;Sangbaipi;Shengjiang;Gegen;Xiaoji;竹茹
P0208,Danggui;Chuangong;Jiqiao;Chenpi;Xiangfu;Houpu;Muxiang;Sumu;Liujilu;Luodeda打;Sanqi;Ruxiang;Moyao;萹蓄
P0209,Danggui;Chishao;Xiangfu;Qianghuo;薄荷;Jiqiao;Chenpi;Zisu;Wulinzhi;人中黄;Yanhusuo;Chuangong;Wuyao;Baizhi;Fangfeng;Gancao
P0210,Danggui;Zirantong;Taoren;Honghua;陈麻皮;Tubiechong;Husuibu;Dahuang;Ruxiang;Moyao;老Yinggu;Xiejie;Zhusha;Xionghuang;Shexiang
P0211,Duzhong;Ruxiang;Moyao;Danggui;Chishao;Shengdihuang;Buguzhi;Tubiechong;Dilong;Xuduan;Yuanzhi;Husuibu
P0212,Dahuang;Houpu;Zhishi;Qianghuo;Fangfeng;Danggui;Shengdihuang;Mangxiao
P0213,Dahuang;Mangxiao;Zhishi;Houpu;Danggui;Rougui;Gancao
P0214,Guijia;Lujiao;Hugu;Heshouwu;Chuanliuxi;Duzhong;Suoyang;Danggui;Qilinxian;Huangbai;Renshen;Qianghuo;Ganjiang;Baishao;Baishu;Shudihuang;Fuzi
P0215,Danggui;Chuangong;Baishao;Shengdihuang;Cangshu;Houpu;Chenpi;Fulin;Banxia;Qianghuo;Duhuo;Jiegen;Jiqiao;Qianhu;Chaihu;Ganjiang;Rougui;Gancao
P0216,蒲公英;金Yinhua;Fulin;Yiniren;Liuxi;Danggui;Beimu;Chuanshanjia;Gancao;紫花地丁
P0217,Taoren;Honghua;Dahuang;Chuangong;Shanzha;Danggui;Baishao;Shengdihuang
P0218,Danggui;Shaoyao;Fulin;Baishu;Chaihu;Mudanpi;Zhizi;Gancao
P0219,Chuangong;Danggui;Baishao;Baihe;Jingjie
P0220,Chuangong;Danggui;Baishu;Baihe;Jingjie
P0221,Danggui;Baishao;知母;Huangbai;Qingjiu;Mugua;Rendong藤;钩藤;天门冬;Shengdihuang;Qilinxian;Heshouwu
P0222,Guijia;Lujiao;Hugu;Heshouwu;Chuanliuxi;Duzhong;Suoyang;Qilinxian;Danggui;Huangbai;Renshen;Qianghuo;Baishao;Baishu;Shudihuang;Fuzi
P0223,Shanzhima;Ruxiang;Moyao;Xiejie
P0224,Ruxiang;Moyao;Jiangxiang;Sumu;Wuchuan;Yousongjie;Zirantong;Dilong;Shuizhi;Xiejie;Longjiang;Tugou
P0225,Danggui;Chuangong;Baishao;Shengdihuang;Cangshu;Houpu;Chenpi;Fulin;Qianghuo;Duhuo;Jiegen;Jiqiao;Qianhu;Chaihu;Ganjiang;Rougui;Gancao
P0226,Ajiao;Aiye;Shaoyao;Shengdihuang;Danggui;Ganjiang;Chuangong;Gancao
P0227,Gutongqian;Zirantong;Danggui;Wuchuan;Ruxiang;Moyao;Xiejie
P0228,鳖甲;Tubiechong;Shengjiang;Zirantong;Xiejie;Ercha;Ruxiang;Moyao;Shengdihuang
P0229,Moyao;Mubiezi;Zirantong;Husuibu;Shuizhi;Ruxiang;Wumingyi;天Qiezi;Songjie;Dilong;Buguzhi;Xixin;Danggui;Wuchuan;Zhusha;Shexiang;蒴藋根
P0230,Dukelizi;Sangbaipi;Xiongheidou;Danggui;Buguzhi;Moyao;Ruxiang;Shuizhi
P0231,Sumu;定粉;Mangxiao
P0232,白秋霜
P0233,年久碎瓦片
P0234,Danggui;Gancao;Moyao;Rougui;Ruxiang;Zelan;Zirantong
P0235,Yeheshu;白芥子
P0236,Jiangxiang;Sumu;Zirantong;Moyao;Ruxiang;Wuchuan;Caowu;Longjiang;Hugu;Quanxie;Xiejie;Husuibu;Shuizhi;Dilong
P0237,Gutongqian;Ruxiang;Tianguazi
P0238,Tubiechong;Ruxiang;Moyao;Longjiang;Zirantong;Shexiang
P0239,Duhuo;Chuanliuxi;Xuduan;Duzhong;Pixie;Fangfeng;Gancao;Ruxiang;Moyao
P0240,Wujuzi
P0241,Xiejie;Banxia;Ruxiang;Moyao;Danggui;Tubiechong;Badou
P0242,茉莉根
P0243,Moyao;Ruxiang;Shexiang
P0244,Zirantong;Ruxiang;Moyao;Xiejie;Dilong;Tianguazi;Husuibu;合欢藤;Xuduan;Sumu;川归
P0245,黄麻;Xieyutan;Ruxiang
P0246,Moyao;Ruxiang;Zirantong;滑石;Longjiang;赤Shizhi;Shexiang
P0247,Wugong;Zirantong;Ruxiang;Gutongqian;Shuizhi;Moyao
P0248,Gutongqian;Husuibu;Ruxiang;Moyao;Tubiechong;Zirantong;Xiejie
P0249,Jiegumu;Ruxiang;Chishao;Danggui;Chuangong;Zirantong
P0250,Gutongqian;Tianguazi;Zhenzhu;狗胎骨
P0251,急性子;Tianlingai
P0252,Muxiang;Chenxiang;Ruxiang;Moyao;Jiucaizi;Xiejie;王瓜子;Tianguazi;雀爪;Renshen
P0253,Dilong;Longjiang;Shexiang;Zirantong;Wuchuan;滑石;Tubiechong;赤Shizhi;Ruxiang;Moyao;Lujiao
P0254,Tubiechong;Husuibu;Zirantong;Badou;Ruxiang;Xiejie;Moyao;Danggui;Mangxiao;Dilong
P0255,Tubiechong;Ruxiang;Moyao;Zirantong;Dahuang;Husuibu;Xiejie;Danggui
P0256,Renshen;Huangqi;Gancao;Danggui;Shaoyao;Shengdihuang;Ajiao;紫菀
P0257,金刚莲;香加皮;Maqianzi;Sanqi;西Honghua;橘红;Jiegumu
P0258,金刚莲;Gancao;Danggui;Wujiapi;Chuangong;Zicao;Sanleng;Wushu;Sumu;Jiqiao;Qingpi;见血清;红毛藤根;Shengdihuang;大血藤;白Jiu
P0259,金刚莲;香加皮;Maqianzi;Sanqi;见血清;血水草
P0260,Mubiezi;Chuanshanjia
P0261,Maqianzi;Jiqiao
P0262,黑虎膏;Songxiang
P0263,Danggui;Husuibu;Chuangong;Gancao;Zelan;Fuzi;Ruxiang;Moyao;Shengdihuang;Huajiao;Xiejie;Renshen;Zirantong;Huangqi;Shexiang
P0264,Yanhusuo;Taoren;Duzhong;Honghua;Liuxi;Buguzhi;Cangshu;Danggui;Qianghuo;Rougui;Xiaohuixiang
P0265,Zirantong;Tubiechong;Shuizhi;Dilong;Longjiang;Jiangxiang;Sumu;Tugou;Wuchuan;Songjie;Ruxiang;Moyao;Xiejie;Muxiang;Baishao;Shexiang
P0266,Jingjie;竹茹;Danggui;Shengdihuang
P0267,Maqianzi;Mahuang;Ruxiang;Moyao
P0268,Ruxiang;Moyao;Maqianzi;Mahuang;Tubiechong;Zirantong
P0269,Niuhuang;Binpian;Shexiang;月石;Zhusha;Xionghuang;Mangxiao;荜茇;金页
P0270,粪池内陈年砖头
P0271,Sanqi;Liujilu;Husuibu;Baiji;Bailian;Ruxiang;Moyao;Xiejie;Ercha
P0272,Danggui;Shudihuang;Baishu;Baishao;Shengdihuang;Duzhong;Gancao;Mudanpi
P0273,Honghua;Puhuang;Wulinzhi;Xiangfu;Husuibu;Zirantong;Sanqi;Chishao;Taoren;Zelan;Ruxiang;Moyao;Xiejie;Hugu;Maqianzi
P0274,寒食面;千口土;土马鬃;Wujuzi;Jingjie;纥勒蔓心;Xionghuang;Ruxiang
P0275,Zirantong;Zhusha;孩儿牙齿;鸡子
P0276,Danggui;Baishao;Shengdihuang;Baishu;Gancao;Renshen;Sumu;Ruxiang;Moyao
P0277,Danggui;Baishao;Baishu;Renshen;Shengdihuang;Gancao;Sumu;Ruxiang;Moyao
P0278,鹭;Honghua;Renshen
P0279,Jiegen;Honghua;Sumu;Mangxiao;猪苓;Zexie;Dahuang;Danggui;Taoren
P0280,Danggui;Chuangong;Baishao;Shengdihuang;Chenpi;Baishu;Honghua;Taoren
P0281,橘子
P0282,Danggui;Dahuang;Jiucaizi;Puhuang;Puhuang;Qiancao;Taoren;Honghua;Chenpi;Houpu;Jiqiao;Gancao
P0283,Danggui;Tubiechong;Chuangong;Xiejie;Moyao;Mahuang;Zirantong;Ruxiang
P0284,Rougui;Honghua;Danggui;Chishao;Mudanpi;Shengdihuang;Wuyao;Husuo;Taoren;Liuxi;Duzhong;Chuangong;毛姜;Xuduan;Wujiapi;Fangfeng;Qianghuo;Huafen;Gancao;Jianghuang
P0285,大血藤;小血藤;Chuanliuxi;Liuxi;舒筋草;刺五加;白花草;白龙须;Mutong;接骨丹根;随手香;老鹳草;Husuibu;红毛七;Songjie;见血飞;金腰带;红Zelan;猪毛七;伸筋草;破骨风;黄龙须;八爪龙;Hujiao;红酸浆草;筋骨草;Wuguji;石兰藤;还魂草
P0286,Sanleng;Wushu;Chishao;Huangbai;Bajiaohuixiang;Yanhusuo;Binlang;Zisu;Chenpi;Qingpi;Qianghuo;大腹皮;Jingjie;Jiegen;Banxia;Huanglian;Mangxiao;Dahuang;Fangfeng;Chaihu;千里马;姜;Congbai
P0287,Sanqi;Dahuang;阿魏;孩Ercha;天竺黄;Xiejie;Ruxiang;Moyao;Xionghuang;Shanyangxie;Binpian;Shexiang;Niuhuang;Tenghuang
P0288,Qingjiu;Xuduan;Duzhong;Xiangfu;Danggui;Husuibu;Chenpi;Gancao;Wujiapi;Jinmaogouji;Chaihu;Gegen
P0289,Danggui;通草;Taoren;Chuanshanjia;Liuxi;Dahuang;中Qingpi;Husuibu;Ruxiang;Moyao;Baizhi;Zisuzi;Honghua;Duzhong;Jiangxiang;Gancao;Xiejie;Sanqi;Tubiechong;石南枝头
P0290,Ganjiang;Gegen;Shengma;Cangshu;Jiegen;Dahuang;Jiqiao;Shaoyao;Chenpi;Gancao;Banxia;Baizhi;Fulin;Danggui;Shengjiang
P0291,Chixiaodou;Huangqi;Fuzi;Bailian;Shengdihuang;Shaoyao;Huangqin
P0292,Danggui;Baizhi;Liulu
P0293,Qilinxian;海风藤;Shengdihuang;石菖蒲;Shengma;Xixin;吉根;Qianghuo;Fangfeng;Binlang;全皮;草节;Ruxiang;Moyao;Chishao;Shengdihuang
P0294,Liujilu;Husuibu;Yanhusuo
P0295,Danggui;Wuchuan;Shuizhi;Fuzi;Moyao;Caowu
P0296,Danggui;Shudihuang;Baishao;Chuangong;Ruxiang;Moyao
P0297,Caowu;Cangshu;Chuanshanjia;Buguzhi;Baizhi;Congbai;Ganjiang
P0298,Muxiang;Shengdihuang;Shaoyao;Honghua;Danggui;Gancao;Baizhi;Mubiezi;橘红;Mutong;Jiegen;Baishu
P0299,大麻
P0300,Danggui;Jiegen;Liuxi;Husuibu;Wuchuan;Chuangong;Baicaoshuang;Caowu;Mubiezi;Chishao;乌豆;Jinmaogouji
P0301,曼陀罗花;Caowu;Baizhi;Danggui;Chuangong
P0302,Mubiezi;Shanzhima;Ruxiang;箬叶;Chuanshanjia
P0303,Tubiechong;Banxia;Badou;Zhusha;Ruxiang;Moyao
P0304,Gutongqian;Zhusha;Zirantong;Ruxiang;Moyao
P0305,Zirantong;Wuchuan;Husuibu;Baishao;Moyao;Ruxiang;Danggui;Shengdihuang;Chuangong
P0306,Baishu;Danggui;Gancao;Baizhi;Moyao;Rougui;Ruxiang
P0307,Moyao;Danggui;Xiejie;Puhuang;Mudanpi;Husuibu;橘仁
P0308,Moyao;Ruxiang;Yanhusuo;Danggui;Tianguazi;Zhusha
P0309,Moyao;Zexie;Danggui;Rougui;Binlang;Gancao;Baizhi;Huajiao;Fuzi;Chuangong
P0310,Moyao;Xiejie;Qiandan;Baifan
P0311,Moyao;Hugu;Danggui;Yanhusuo;Buguzhi;Baizhi;Shengdihuang;Dahuang;Puhuang;Dukelizi
P0312,Moyao;Danggui;Dilong;Rougui;Zirantong;Wuchuan;Ganjiang
P0313,Fangfeng;Danggui;Wuchuan;Pixie;Zirantong;Husuibu;Ruxiang;Moyao
P0314,Moyao;Ruxiang;Chuangong;Huajiao;Shaoyao;Danggui;Zirantong
P0315,Moyao;Ruxiang;Chuangong;Huajiao;Shaoyao;Danggui;Taoren;Xiejie;Zirantong
P0316,Moyao;Zelan;Baizhi;Husuibu;Caowu;Buguzhi;Guijia;Hugu;Xuduan;白头翁;Wujinshi;Zirantong
P0317,Danggui;Moyao;Zirantong
P0318,Mudanpi;牛虻虫
P0319,虻虫;Mudanpi;Shengdihuang
P0320,久碎瓦片
P0321,Jiangxiang;Ruxiang;Moyao;Sumu;Songjie;Zirantong;Wuchuan;Xiejie;Dilong;Longjiang;Tugou
P0322,Ruxiang;Moyao;Mangxiao;天竺黄;Tubiechong;Liuxi;Wumingyi;Husuibu;Zirantong;Xiejie
P0323,鳘鱼;Danggui;Chuangong;Dahuang
P0324,Mudanpi;Danggui;Husuibu;Honghua;Xuduan;Ruxiang;Moyao;Taoren;Chuangong;Chishao;Shengdihuang
P0325,Muli;Qiandan;Danggui;Mangxiao;Ruxiang
P0326,Muli;车前子;Shengdihuang;Huangqin;Shudihuang;Longjiang
P0327,Muxiang;Xiangfu;Cangshu;Houpu;Chenpi;Gancao;Jiqiao
P0328,Muzei;Mahuang;Gancao
P0329,Chuangong;Shudihuang;蛇衔草;Danggui;Roucongrong;Baishao;Ganjiang;Xuduan;Shengdihuang;Fuzi;Xixin
P0330,Tubiechong;Husuibu;Ruxiang;Moyao;Danggui;Dahuang;Zirantong;Xiejie;Mangxiao;Zhusha
P0331,Shexiang;Shuizhi
P0332,绿豆粉;Ruxiang
P0333,Niuhuang;Hupo;Zhenzhu;Muli;Longnao;Zhusha;Shexiang;Jinbo;Yinbo;Shengdihuang;Danggui;Puhuang
P0334,Liuxi;Huangqi;Xuduan;Danggui;Ruxiang;Moyao;Hupo
P0335,Ruxiang;Moyao;Chenxiang;Muxiang;Renshen;Baidoukou;Chishao;Fangfeng;Hugu;Danggui;Quanxie;Tianguazi;Zirantong;Baizhi;Liangtoujian;Wulinzhi;Caowu
P0336,Qianghuo;Fangfeng;中桂;Sumu;Lianqiao;Danggui;Chaihu;Shuizhi;Shexiang
P0337,Chaihu;Huangqin;Wulinzhi;Zhishi;Danggui;Chishao;Chuangong;Shengdihuang;Dahuang;Mangxiao;Taoren;Honghua;Sumu
P0338,Puhuang;Danggui;Rougui;Renshen;Binlang
P0339,Puhuang
P0340,Puhuang;Danggui;Shengdihuang;Xuduan;Baizhi;Gancao;Oujie;Shengdihuang
P0341,Puhuang;Danggui;Rougui;Xuduan;Baizhi;Gancao;Shengdihuang
P0342,Tubiechong;Xiejie;Mangxiao;Wushu;Wujiapi;Tusizi;Muxiang;Wulinzhi;Chenpi;Dahuang;Tugou;Zhusha;Hougu;Badou;Sanleng;Qingpi;Rougui;Chishao;Wuyao;Jiqiao;Danggui;Puhuang;Shexiang
P0343,Zhusha;Shexiang;Binpian;Ruxiang;Honghua;Moyao;Xiejie;粉条Ercha
P0344,Sanqi;Dousha;Binpian;Ruxiang;Moyao;Ercha;Honghua;猴结
P0345,Danggui;Ercha;Zhusha;Ruxiang;Moyao;Honghua;Xionghuang;Binpian;Shexiang;Xiejie
P0346,Dilong;Wulinzhi;Jingjie;Wuchuan;Tiannanxin;Caowu
P0347,Baishu;Danggui;Ruxiang;Moyao;Gancao;Baizhi;Qianghuo;Renshen
P0348,Xiejie;Moyao;Zirantong;Chishao;Danggui;Baizhi;Puhuang;Dahuang;Rougui;Xixin;Husuibu;Ganheye
P0349,Danggui;参Sanqi;Ruxiang;Moyao;杜Honghua;黄麻;Xiejie;Tubiechong;Zhusha;Xionghuang;Dahuang;Binpian;Zirantong
P0350,Xiejie;Moyao;Danggui;Baizhi;Chishao;Shengdihuang
P0351,Qianghuo;Duhuo;Chuangong;Danggui;Chishao;Fangfeng;Jingjie;Mudanpi;Xuduan;Honghua;Taoren;Chenpi
P0352,Qianghuo;Taoren;Honghua;Liuxi;Yanhusuo;Dahuang
P0353,Qianghuo;Zhuli
P0354,Shuizhi;Shexiang;Gutongqian;Zirantong
P0355,Qiezi
P0356,Maqianzi;Chuanshanjia;Baijiangcan
P0357,Zibeifuping;Caowu;Yuzhu;海风藤;Mahuang;Shexiang
P0358,Mudanpi;Danggui;Chuangong;Chishao;Shengdihuang;Huangqin;Huanglian;Lianqiao;Zhizi;Taoren;Gancao
P0359,Naoyanghua
P0360,Husuibu;Wuchuan;Chuangong;Caowu;Danggui;Liuxi;Mubiezi;Heshouwu;Wujinshi
P0361,Tiannanxin;Jiangcan;Fangfeng;Baizhi
P0362,Xuduan;Danggui;Qianghuo;Duhuo;Wujiapi;Chuangong;Liuxi;Rougui;Caowu;Xixin;Wuyao;Honghua;Wuchuan;Gancao
P0363,Honghua;Tubiechong;Ruxiang;Taoren;Chenxiang;Jianghuang;Qizha;Zirantong;Shengdihuang;Rougui;Wushu;Husuibu;Zuixiantao;Sanqi;Qiancao;Danggui;Wuyao;Sanleng;Xiejie;Muxiang;Balengma;Jiqiao;Wuchuan;Caowu
P0364,Renshen;Dingxiang;Wujiapi;Gancao;Fulin;Danggui;Xiejie;Husuibu;Wuweizi;Moyao
P0365,Renzhongbai
P0366,Yanhusuo;Danggui;Shengdihuang;Duzhong
P0367,Gancao;Zaojiao
P0368,Cangshu;Wuchuan;Caowu;Liangtoujian;Baishu;Chuangong;Baizhi;Fangfeng;Xixin;Xiewei;Xionghuang
P0369,Cangshu;Baizhi;Xixin;Chuangong;Liangtoujian;Wuchuan;Tianma;Quanxie;Baishu;Fangfeng
P0370,Baishu;Danggui;Gancao;Baizhi;Moyao;Ruxiang;Rougui
P0371,Ruxiang;Moyao;Guijia;Zijinpi;Danggui;Hugu;Husuibu;Chuanshanjia
P0372,Ruxiang;Moyao;Chuangong;Baizhi;Shaoyao;Gancao;Mudanpi;Shengdihuang
P0373,Ruxiang;Danggui;Baishu;Baizhi;Moyao;Gancao;Qianghuo;Renshen
P0374,Ruxiang;Moyao;Huangqi;Like;Renshen;Gancao;Chuangong;Danggui;Baishao;Chenpi;Shudihuang
P0375,Huangqi;Danggui;Chuangong;Chenpi;Mahuang;Gancao;Shaoyao;Renshen;Mike;Ruxiang;Moyao
P0376,Ruxiang;Moyao;Danggui;Suosharen;Jiqiao;Gancao
P0377,Zirantong;Ruxiang;Moyao;Huixiang;Danggui
P0378,Rougui;Ganjiang;Liuxi;Qianghuo;Baizhi;Chuangong;Xixin;Jianghuang;Husuibu;Danggui;Shaoyao;Caowu;Wuchuan;Cangshu;Jiegen;Chixiaodou;Ruxiang;Moyao;Heshouwu;Mubiezi
P0379,Hugu;Guijia;Zhixiang;Liuxi;;Xuduan;Ruxiang
P0380,Ruxiang;Baizhi;Rougui;Moyao;Anxixiang;Dilong;Buguzhi;Danggui
P0381,Hugu;Guijia;Xiejie;Chishao;Ruxiang;Moyao;Danggui;Fangfeng;Baifu;Canger;Zirantong;Husuibu;Rougui;Ganjiang;Liuxi;Tianma;Binlang;Wujiapi;Qianghuo
P0382,Ruxiang;Moyao;Sangbaipi;Xiongheidou;Dukelizi;Buguzhi;Danggui;Shuizhi
P0383,Luomi;Wuchuan;Wulinzhi;Ruxiang;Baizhi;Huoxiang;Tiannanxin;Moyao;Jingjie;Chixiaodou;Husuibu;Baifuzi;Songxiang;Xiangmo;Caowu
P0384,Ruxiang;Rougui;Anxixiang;Moyao;Dilong;Buguzhi;Danggui;Baizhi;Wulinzhi
P0385,Cangshu;Wutou;Ruxiang;Tianxianzi;Zirantong;Qianniuzi;Rougui
P0386,Husuibu;Huluba;Buguzhi;Wuchuan;Roucongrong;Liuxi;Jinmaogouji;Muli;Tianguazi;Qianniuzi;Chishao;Zirantong;Chuanjianzi;Xiaohuixiang;Mudanpi;Wulinzhi;Baishao;Cangshu;Rougui;Ximo;Mubiezi;Moyao;Ruxiang
P0387,Ruxiang;Wuchuan;Moyao;Wulinzhi;Baijiaoxiang;Dilong;Baijiang;Banxia;Wujiapi;Chixiaodou
P0388,Longjiang;Wugong;Chixiaodou;Hugu;Jiangcan;Caowu;Baijiaoxiang;Tianma;Chuanliuxi;Danggui;Quanxie;Ruxiang;Mubiezi
P0389,Lianqiao;Tubiechong
P0390,Tianzhuhuang;Xionghuang;Liujilu;Hongdaji;Xiejie;Danggui;Zhusha;Ercha;Ruxiang;Hupo;Qinfen;Shuiyin;Shexiang
P0391,Tenghuang;Tianzhuhuang;Daji;Danggui;Niuhuang;Liujilu;Shexiang;Hupo;Xionghuang;Xiejie;Ercha;Ruxiang;Binpian;Shuiyin
P0392,Danggui;Chuangong;Chishao;Shengdihuang;Baishao;Liuxi;Xuduan;Baizhi;Duzhong;Husuibu;Wujiapi;Qianghuo;Duhuo;Tiannanxin;Fangfeng;Rougui;Ruxiang;Moyao;Muxiang;Dingpi;Bajiaohuixiang
P0393,Gegen;Banxia;Chuangong;Fangfeng;Qianghuo;Shengma;Jiegen;Baizhi;Gancao;Xixin;Zisu;Xiangfu;Honghua
P0394,Danggui;Chishao;Ruxiang;Moyao;元寸;Xuduan;Mugua;Xiejie;Sanqi;西Honghua
P0395,Shuizhi;Danggui;Mudanpi;Honghua;Gancao;Shengdihuang
P0396,Sanqi;Danggui;Baishao;Dahuang;Mudanpi;Jiqiao;Taoren;Shengdihuang;Daji;Xiaoji;Honghua
P0397,Jiqiao;Jiegen;Fangfeng;Wuyao;Danggui;Kuxinren;Banxia;Mutong;Gancao;Honghua
P0398,Qiandan;Baijiaoxiang;Moyao;Ruxiang;Danggui;Baizhi;Kuxinren;Dahuang;Caowu;Wuchuan;Chishao;Binlang;Shengdihuang;Chuangong;Liqin;Luanfa
P0399,Dameipian;Shexiang;Ruxiang;Moyao;结子Honghua;Xiejie;Zhusha;Xionghuang;Ercha;Danggui
P0400,Moyao;Muxiang;Dingxiang;Jiqiao;Yanhusuo;Qingpi;Xiejie;Xieyutan;Ercha;Danggui
P0401,Maqianzi;Jiqiao
P0402,Ruxiang;Moyao;Yanhusuo;Xixin;Xiangfu;Shannai;Baizhi
P0403,Liuxi;Sanqi;Danggui;Luodeda打;Duzhong;Husuibu;Xiejie;Shanyangxie;Zirantong;Ercha;Tianguazi;Houpu;Ruxiang;Mugua;Rougui;Xuduan;Honghua;Zhusha;原寸香
P0404,Danggui;Sanqi;Wulinzhi;Dangshen;Zhusha;Ruxiang;Caowu;Jiangcan;Dilong;Chuanshanjia;Baijiaoxiang
P0405,Chishao;Danggui;Xuduan;Baizhi;Shengdihuang;Huangqin;Gancao;Liuxi;Puhuang
P0406,Danggui;Caowu;Moyao;Ruxiang;Xiejie;Zirantong
P0407,Shexiang;Shuizhi
P0408,Ruxiang;Moyao;Danggui;Caowu;Yanmu;Qilinxian;Wulinzhi
P0409,Ruxiang;Moyao;Xieyutan;Dahuang;Rougui;Danggui;Xuanshen;Xuduan;Wushu;Shengdihuang;Chishao;Baizhi;Shegan;Badou;Minfan;Huangqin;Liuzhi;Xiangyou;Qiandan;Shexiang
P0410,Qilinxian
P0411,Gualou;Chishao;Gancao;Huangqi;Kuxinren;Baizhi;Danggui;Taoren;Renshen;Chuangong;Cangshu;Sangbaipi;Chenxiang;Linlinxiang;Huoxiang
P0412,Shenqu
P0413,Shuizhi;Tusizi;Fahui;Haomianhui;Moyao;Ruxiang;Xiejie;Shexiang
P0414,Honghua;Moyao;Danggui;Ercha;Xionghuang;Baizhi;Rougui;Ruxiang;Zhusha;Dahuang;Xiejie;Binpian;Shexiang
P0415,Niuhuang;Binpian;Shexiang;Baizhi;Chuanshanjia;Hafen;Ruxiang;Hujiao;Zirantong;Dahuang;Moyao;Danggui;Taoren;Sumu;Wulinzhi;Honghua;Chishao;Muxiang;Wujiapi;Xiejie;Qingpi;Wumingyi;甜瓜皮;Daji;千金子;Tubiechong;土豆根;Shancigu;Zhusha
P0416,Tusizi;Buguzhi;Jinlinzi;Xuduan;Huluba;Yuanzhi;Wuweizi;Lurong;角版;Gansong;Duzhong;Shannai;Yizhiren;Baiziren;Fangfeng;Kuxinren;Mutong;滑石;Sanleng;Wushu;Jiucaizi;Digupi;Wujiapi;Heshouwu;Mudanpi;青藤;石楠藤;Zijinpi;Muzei;Haitongpi;红豆蔻;Jili;Ruxiang;Moyao;Longjiang;Hugu;Xiejie;Zhusha;Shexiang;Zirantong;Huangqi;Renshen;Baishu;Like;Chuangong;Chishao;Baishao;红内消;Shudihuang;Fulin;Fulin;Cangshu;Chenpi;Wuyao;Xiangfu;Danggui;Jiqiao;Zhishi;Baizhi;Houpu;Mahuang;Wuzhuyu;Bajiaohuixiang;Xiaohuixiang;Jingjie;Qianghuo;Duhuo;Liuxi;Mugua;Banxia;Tiannanxin;Jiangcan;Quanxie;Tianma;Xixin;Huoxiang;Ganjiang;Liangjiang;Wuchuan;Baji天;青盐;Rougui;Fuzi;Lianqiao;Jiegen;Qingpi;Tianxiong;草果;Dingxiang;Sharen;Roucongrong;肉豆蔻;Baidoukou;Muxiang;Gancao
P0417,Niuhuang;Binpian;Shexiang;阿魏;明腰黄;Dahuang;粉条Ercha;天竺黄;Sanqi;Xiejie;Ruxiang;Moyao;Shanyangxie;Tenghuang
P0418,Maqianzi;Mahuang;Ruxiang;Moyao
P0419,Rougui;Honghua;Wuchuan;Caowu
P0420,Luomi;Feiluomian;Mabo
P0421,Shanyangxie;Jinhuashi;Hupo;Renshen;Gutongqian;Tugu;Moyao;Shexiang
P0422,Mudanpi;Pixie;Baishu;Rougui
P0423,Jiucai;Tongbian
P0424,Shengdihuang;Chuangong;Chishao;Oujie;Danggui;芸苔子;Mangxiao;Jingjie;马齿苋
P0425,Shengdihuang;Huangqin;Ajiao;Cebai;Gancao
P0426,Hugu;Jinmaogouji;Wujiapi;Yinyanghuo;Liuxi;Baiqiegen;Yousongjie;Duhuo
P0427,Dingxiang;Tanxiang;Muxiang;Gancao;Suosharen;Baidoukou;Chenxiang;Huoxiang
P0428,Danggui;Shengdihuang;Shudihuang;Baishu;Jiqiao;Jingjie;Baishao;Fangfeng;Chenpi;Duzhong;Mudanpi;Chuangong;Ganjiang;Liuxi;Duhuo;Qiepi;Xuduan;Huangqi;Aiye;Xiangfu;Qianghuo;Honghua;Gancao;Fulin
P0429,Ruxiang;Wumei;Baiwojuzi;白米
P0430,TInglizi;Fangji;Muxiang;Fulin;Mutong;Renshen
P0431,Wubeizi;Shancigu;Chuanmo;Xusuizi;Wulinzhi;Banlangen;Hongdaji
P0432,Qiezi
P0433,Xiejie;Ruxiang;Moyao;Dilong;Zirantong;Wumingyi;Mubiezi
P0434,Binpian;Shexiang;Zhusha;Ruxiang;Honghua;Xiejie;Xionghuang;Ercha;Danggui;Moyao
P0435,Tenghuang;Sangshutan
P0436,Shexiang;Chuanshanjia;Muxiang;Xiejie;Xionghuang;Shanzhima;Mubiezi;Zirantong;Jiangcan;Wugong
P0437,Caowu;Tiannanxin;Wuchuan;Wulinzhi;Mubiezi;Yangzhizhuo;Manjinzi;Dilong;Baijiaoxiang;Moyao;Ruxiang;Mahuang;Diyu;Tianma;Jinmo
P0438,Shinanteng;Ruxiang;Moyao;Wuchuan;Wulinzhi;Zirantong;Mugua
P0439,Ruxiang;Moyao;Xiangfu;Danggui;Xiejie;Zirantong;Honghua;Yanhusuo;Husuibu
P0440,Danggui;Moyao;Chuangong;Gancao;Honghua;Xiejie;Ruxiang;Chishao;Dahuang
P0441,Qianghuo;Fangfeng;Jingjie;Duhuo;Danggui;Xuduan;Qingpi;Liuxi;Wujiapi;Duzhong;Honghua;Jiqiao
P0442,Yanhusuo;Duzhong;Rougui;Qianghuo;Shaoyao
P0443,Ruxiang;Moyao;Beimu;Liuxi;Xiejie;Duhuo;Qianghuo;Duzhong;Mugua;Shengdihuang;Gancao;Honghua;Mahuang;Maqianzi;Fangfeng
P0444,Danggui;Chuangong;Baishao;Shudihuang;Qianghuo;Duhuo;Jiegen;Jiqiao;Chaihu;Fulin;Baizhi;Gancao;Zisu;Chenpi;Xiangfu
