NO,Composition
P0001,Danggui;Baishao;Qianghuo;Qingjiu
P0002,Dahuang;Danggui;Shexiang;Mudanpi;Taoren;Honghua;Baishao;Ruxiang;Moyao;Shengdihuang;Shengdihuang;Chaihu;Huangqin;Jiqiao;Gancao
P0003,Xiangfu;Zisu;Wuyao;Chenpi;Chuangong;Danggui;Ruxiang;Moyao;Cangshu;Jiqiao;Gancao
P0004,Sanqi;Danggui;Yanhusuo;Ruxiang;Moyao;Xiejie;Sumu;Wulinzhi;Chishao;Honghua
P0005,Cangshu;Gegen;Jiegen;Danggui;Fulin;Baizhi;Jiqiao;Gancao;Chenpi;Baishao
P0006,Danggui;Zelan;Taoren;Honghua;Chuangong;Sumu;Mudanpi
P0007,Sanleng;Wushu;Chishao;Huangbai;Huanglian;Qingpi;Zisu;Yema;Xiangfu;Chaihu;Ruxiang
P0008,Yanhusuo;Danggui;Sumu;Taoren;Honghua;Chishao;Wulinzhi;Moyao
P0009,Zijinpi;Wujiapi;Chuangong;Wuyao;Rougui;Yanhusuo;Muxiang;Yujin;Qianghuo;Ruxiang;Mudanpi;Danggui
P0010,Rougui;Ruxiang;Moyao;Muxiang;Yangzhizhuo;Qianghuo;Chuangong;Yanhusuo;Zijinpi;Wujiapi;Mudanpi;Yujin;Wuyao
P0011,Ajiao;Shudihuang;Chishao;Danggui;Chuangong;Ganjiang
P0012,Dousha;Xionghuang;Xiyueshi;Qingmengshi;Xieshi;Xixiepo;Shexiang;Dameipian
P0013,Chuangong;Caowu;Banxia;Mahuang;Chansu;Tiannanxin
P0014,Badou;Ruxiang;Moyao;Banxia;Xishatou;Danggui;Xionghuang;Tubiechong;Xiangguazi;Xiejie
P0015,Tubiechong;Ruxiang;Moyao;Xiejie;Banxia;Danggui;Badou;Sharen;Xionghuang;Xiangtianguazi
P0016,Sumu;Zirantong;Ruxiang;Moyao;Xiejie;Shexiang;Honghua;Dingxiang;Mubiezi
