OTUID	All	KO	OE	WT
ASV_657	4.100016	3.338861	3.776119	5.185070
ASV_2	3.894163	5.675897	2.653117	3.353476
ASV_3	2.583013	2.206934	2.372687	3.169418
ASV_12	2.563604	2.179664	2.837826	2.673323
ASV_4	2.173495	2.269996	1.664809	2.585680
ASV_6	1.698938	2.641600	1.037547	1.417665
ASV_8	1.706536	1.174464	2.145386	1.799760
ASV_18	1.486386	1.378834	1.392326	1.687998
ASV_9	1.341987	1.265574	1.379323	1.381065
ASV_10	1.193577	1.7363493	0.8303443	1.0140384
ASV_11	1.074085	1.027341	1.042995	1.151919
ASV_13	1.035661	0.9000309	1.0859983	1.1209544
ASV_15	0.978871	1.0306104	1.0124724	0.8935298
ASV_14	0.966748	0.9710383	0.8295544	1.0996501
ASV_16	0.897427	0.7369531	0.8511616	1.1041668
ASV_17	0.840806	1.1623174	0.5544073	0.8056925
ASV_28	0.752974	0.6435287	0.6568970	0.9584976
ASV_20	0.677686	0.5911219	0.3300092	1.1119258
ASV_33	0.61102	0.4382212	0.6718904	0.7229469
ASV_25	0.586365	0.6859706	0.4864674	0.5866565
ASV_21	0.580437	0.4913050	0.5203132	0.7296938
ASV_22	0.568858	0.6325677	0.5798115	0.4941941
ASV_31	0.557915	0.5107532	0.5892065	0.5737847
ASV_24	0.543939	0.8616670	0.3598328	0.4103183
ASV_23	0.541892	0.7430155	0.3046430	0.5780173
ASV_26	0.552633	0.4370783	0.6129773	0.6078427
ASV_29	0.521772	0.6264734	0.3777612	0.5610806
ASV_27	0.527089	0.5124811	0.5658154	0.5029701
ASV_30	0.50533	0.5236304	0.5015374	0.4908236
ASV_32	0.495118	0.4098232	0.5365978	0.5389344
ASV_34	0.485234	0.3244399	0.4490431	0.6822195
ASV_36	0.473408	0.5347696	0.3807047	0.5047494
ASV_37	0.466641	0.3086556	0.4755115	0.6157545
ASV_47	0.455049	0.5457568	0.3872292	0.4321610
ASV_39	0.446663	0.6350549	0.3217532	0.3831811
ASV_43	0.467746	0.2389322	1.0322605	0.1320461
ASV_38	0.427261	0.3731598	0.3388330	0.5697892
ASV_41	0.424051	0.7070412	0.2360979	0.3290132
ASV_55	0.428654	0.3004704	0.4213984	0.5640930
ASV_42	0.408885	0.4829352	0.3428284	0.4008904
ASV_71	0.404437	0.4944635	0.3328789	0.3859675
ASV_46	0.409301	0.3175307	0.4553828	0.4549885
ASV_166	0.40028	0.4018993	0.3519987	0.4469421
ASV_63	0.379811	0.5241644	0.2822538	0.3330146
ASV_45	0.376502	0.4428810	0.2807635	0.4058606
ASV_44	0.370844	0.5460737	0.2223894	0.3440688
ASV_40	0.375422	0.1164165	0.3601091	0.6497407
ASV_50	0.368394	0.5518413	0.1857318	0.3676102
ASV_378	0.376724	0.3090993	0.3824123	0.4386591
ASV_48	0.375187	0.3549094	0.4753789	0.2952742
ASV_49	0.359358	0.3050065	0.3281693	0.4448992
ASV_51	0.331221	0.4741441	0.3900510	0.1294680
ASV_53	0.331349	0.3235114	0.3401477	0.3303888
ASV_57	0.323509	0.3086371	0.3030080	0.3588808
ASV_54	0.322118	0.4243674	0.3306254	0.2113617
ASV_56	0.309693	0.4120122	0.2584951	0.2585708
ASV_59	0.307884	0.3350008	0.3063248	0.2823256
ASV_2105	0.297818	0.2880822	0.3372617	0.2681102
ASV_62	0.290024	0.3878845	0.2158715	0.2663159
ASV_60	0.274109	0.3847356	0.1796210	0.2579716
